countOBU,countRSU,latitude,longitude,Ax,Ay,Az,datetime,timeFromBeginning
1,1,0,0,0.1015625,0.066162109,0.876708984,26:22.8,00:00.5
2,2,0,0,0.097412109,0.086425781,0.884765625,26:22.8,00:00.5
3,3,0,0,0.101806641,0.083007813,0.886474609,26:22.9,00:00.6
4,4,0,0,0.083740234,0.082275391,0.910644531,26:22.9,00:00.7
5,5,0,0,0.1015625,0.107666016,0.903808594,26:23.0,00:00.7
6,6,0,0,0.093017578,0.077880859,0.934814453,26:23.1,00:00.8
7,7,0,0,0.1015625,0.083740234,0.933837891,26:23.1,00:00.9
8,8,0,0,0.091064453,0.092285156,0.942871094,26:23.2,00:00.9
9,9,0,0,0.094726563,0.078369141,0.951660156,26:23.3,00:01.0
10,10,19.28525367,-99.14052417,0.081787109,0.044433594,0.923339844,26:23.8,00:01.5
11,11,19.28525367,-99.14052417,0.114990234,0.048095703,0.884521484,26:23.8,00:01.5
12,12,19.28525367,-99.14052417,0.109130859,0.044433594,0.895263672,26:23.9,00:01.6
13,13,19.28525367,-99.14052417,0.115478516,0.010253906,0.930419922,26:23.9,00:01.7
14,14,19.28525367,-99.14052417,0.110595703,-0.001953125,0.922851563,26:24.0,00:01.7
15,15,19.28525367,-99.14052417,0.080078125,-0.015380859,0.958007813,26:24.1,00:01.8
16,16,19.28525367,-99.14052417,0.088623047,-0.041748047,0.986816406,26:24.2,00:01.9
17,17,19.28525367,-99.14052417,0.107666016,-0.081054688,0.907470703,26:24.2,00:01.9
18,18,19.28525367,-99.14052417,0.112304688,-0.100097656,0.916259766,26:24.3,00:02.0
19,19,19.28525233,-99.140529,0.137451172,-0.186279297,0.924316406,26:24.8,00:02.5
20,20,19.28525233,-99.140529,0.134033203,-0.204101563,0.929931641,26:24.8,00:02.5
21,21,19.28525233,-99.140529,0.137207031,-0.228759766,0.996582031,26:24.9,00:02.6
22,22,19.28525233,-99.140529,0.135742188,-0.244140625,1.008056641,26:24.9,00:02.7
23,23,19.28525233,-99.140529,0.157470703,-0.25390625,0.948242188,26:25.0,00:02.7
24,24,19.28525233,-99.140529,0.139404297,-0.310302734,0.934814453,26:25.1,00:02.8
25,25,19.28525233,-99.140529,0.187988281,-0.237304688,0.946289063,26:25.1,00:02.9
26,26,19.28525233,-99.140529,0.061767578,0.068359375,0.904296875,26:26.7,00:04.4
27,27,19.28525233,-99.140529,0.037353516,0.156738281,0.984863281,26:26.7,00:04.5
28,28,19.28523483,-99.14053433,0.125488281,0.220214844,0.860839844,26:26.7,00:04.5
29,29,19.28523483,-99.14053433,0.112792969,0.198486328,0.943359375,26:26.8,00:04.5
30,30,19.28523483,-99.14053433,0.173828125,0.108642578,0.837890625,26:26.8,00:04.5
31,31,19.28523483,-99.14053433,0.141845703,0.040527344,0.843017578,26:26.8,00:04.5
32,32,19.28523483,-99.14053433,0.166992188,0.051025391,0.886962891,26:26.8,00:04.5
33,33,19.28523483,-99.14053433,0.157226563,0.134765625,0.828369141,26:26.8,00:04.5
34,34,19.28523483,-99.14053433,0.165771484,0.253417969,0.928710938,26:26.8,00:04.5
35,35,19.28523483,-99.14053433,0.188476563,0.149414063,0.900146484,26:26.8,00:04.6
36,36,19.28523483,-99.14053433,0.139404297,0.093017578,0.957519531,26:26.8,00:04.6
37,37,19.28520033,-99.14053767,0.099121094,0.135742188,0.90625,26:26.9,00:04.6
38,38,19.28520033,-99.14053767,0.084960938,0.171142578,0.923583984,26:26.9,00:04.6
39,39,19.28520033,-99.14053767,0.128417969,0.14453125,0.875244141,26:26.9,00:04.6
40,40,19.28520033,-99.14053767,0.065429688,0.084228516,0.912353516,26:26.9,00:04.7
41,41,19.28520033,-99.14053767,0.107421875,0.068359375,0.940917969,26:27.0,00:04.7
42,42,19.28520033,-99.14053767,0.064453125,0.126708984,0.929199219,26:27.1,00:04.8
