countOBU,countRSU,latitude,longitude,Ax,Ay,Az,datetime,timeFromBeginning
1,1,0,0,0.121826172,0.013916016,0.911132813,28:43.8,00:00.3
2,2,0,0,0.118164063,0.036865234,0.912353516,28:43.8,00:00.3
3,3,0,0,0.130371094,0.027587891,0.848876953,28:43.9,00:00.4
4,4,0,0,0.124267578,-0.017089844,0.900146484,28:43.9,00:00.5
5,5,0,0,0.068847656,-0.032470703,0.972900391,28:44.0,00:00.5
6,6,0,0,0.122314453,-0.138916016,0.963378906,28:44.1,00:00.6
7,7,0,0,0.045410156,-0.087890625,0.996337891,28:44.2,00:00.7
8,8,0,0,0.053710938,-0.031982422,0.918945313,28:44.2,00:00.7
9,9,0,0,0.078125,-0.030761719,0.872314453,28:44.3,00:00.8
10,10,19.28516683,-99.14057233,0.067138672,-0.1171875,0.958007813,28:44.8,00:01.3
11,11,19.28516683,-99.14057233,0.072021484,-0.075439453,0.959716797,28:44.8,00:01.3
12,12,19.28516683,-99.14057233,0.107910156,-0.079345703,0.908447266,28:44.9,00:01.4
13,13,19.28516683,-99.14057233,0.099853516,0.016113281,0.912841797,28:44.9,00:01.5
14,14,19.28516683,-99.14057233,0.135986328,-0.023925781,0.921630859,28:45.0,00:01.5
15,15,19.28516683,-99.14057233,0.118652344,-0.023193359,0.864990234,28:45.1,00:01.6
16,16,19.28516683,-99.14057233,0.143066406,-0.087158203,0.944824219,28:45.2,00:01.7
17,17,19.28516683,-99.14057233,0.093261719,-0.031005859,0.941650391,28:45.2,00:01.7
18,18,19.28516683,-99.14057233,0.083007813,-0.050537109,0.980957031,28:45.3,00:01.8
19,19,19.28513433,-99.14057967,0.135253906,0.106445313,0.891601563,28:45.8,00:02.3
20,20,19.28513433,-99.14057967,0.123779297,0.048339844,0.880126953,28:45.8,00:02.3
21,21,19.28513433,-99.14057967,0.123779297,0.075195313,0.918945313,28:45.9,00:02.4
22,22,19.28513433,-99.14057967,0.095458984,0.103027344,0.956787109,28:45.9,00:02.5
23,23,19.28513433,-99.14057967,0.091064453,0.140625,0.940185547,28:46.0,00:02.5
24,24,19.28513433,-99.14057967,0.061523438,0.063232422,0.937011719,28:46.1,00:02.6
25,25,19.28513433,-99.14057967,0.055175781,0.088623047,0.894287109,28:46.2,00:02.7
26,26,19.28513433,-99.14057967,0.137695313,-0.005615234,0.898681641,28:47.4,00:03.9
27,27,19.28513433,-99.14057967,0.106933594,0.046386719,0.873291016,28:47.4,00:03.9
28,28,19.28510083,-99.14057733,0.128173828,0.05859375,0.9453125,28:47.4,00:03.9
29,29,19.28510083,-99.14057733,0.131835938,0.01953125,0.957763672,28:47.4,00:03.9
30,30,19.28510083,-99.14057733,0.135986328,0.024902344,0.946044922,28:47.4,00:04.0
31,31,19.28510083,-99.14057733,0.150634766,-0.028808594,0.932617188,28:47.4,00:04.0
32,32,19.28510083,-99.14057733,0.076171875,-0.029541016,0.863769531,28:47.5,00:04.0
33,33,19.28510083,-99.14057733,0.097900391,0.005126953,0.927246094,28:47.5,00:04.0
34,34,19.28510083,-99.14057733,0.072509766,0.027099609,0.945068359,28:47.5,00:04.0
35,35,19.28510083,-99.14057733,0.036621094,0.046875,0.967773438,28:47.5,00:04.0
36,36,19.28510083,-99.14057733,0.049560547,0.008789063,1.008300781,28:47.5,00:04.0
37,37,19.28505933,-99.14057933,0.147216797,0.002441406,0.923339844,28:47.8,00:04.3
38,38,19.28505933,-99.14057933,0.140869141,0.002441406,0.942626953,28:47.8,00:04.3
39,39,19.28505933,-99.14057933,0.145263672,0.064697266,0.932617188,28:47.9,00:04.4
40,40,19.28505933,-99.14057933,0.158447266,0.014892578,0.868896484,28:47.9,00:04.5
41,41,19.28505933,-99.14057933,0.126464844,0.030761719,0.889648438,28:48.0,00:04.5
42,42,19.28505933,-99.14057933,0.099609375,0.053710938,0.922363281,28:48.1,00:04.6
43,43,19.28505933,-99.14057933,0.087890625,-0.003662109,0.995361328,28:48.2,00:04.7
44,44,19.28505933,-99.14057933,0.147460938,-0.015625,0.864746094,28:48.2,00:04.7
45,45,19.28505933,-99.14057933,0.127929688,0.024658203,0.918945313,28:48.3,00:04.8
46,46,19.28502683,-99.14059133,0.196044922,0.045654297,0.877441406,28:48.8,00:05.3
47,47,19.28502683,-99.14059133,0.079101563,0.186767578,0.87109375,28:48.8,00:05.3
48,48,19.28502683,-99.14059133,0.014648438,0.056152344,1.040771484,28:48.9,00:05.4
49,49,19.28502683,-99.14059133,0.234375,0.05078125,0.9375,28:48.9,00:05.5
50,50,19.28502683,-99.14059133,0.020019531,0.007568359,0.90234375,28:49.0,00:05.5
51,51,19.28502683,-99.14059133,0.104736328,0.055419922,0.9453125,28:50.2,00:06.7
52,52,19.28502683,-99.14059133,0.057128906,0.050048828,0.930908203,28:50.2,00:06.8
53,53,19.28502683,-99.14059133,0.017333984,0.076171875,0.865234375,28:50.3,00:06.8
54,54,19.28502683,-99.14059133,-0.014404297,0.173583984,0.951416016,28:50.3,00:06.8
55,55,19.2849885,-99.14059383,0.049072266,0.155517578,0.934082031,28:50.3,00:06.8
56,56,19.2849885,-99.14059383,0.060302734,0.152099609,0.860351563,28:50.3,00:06.8
57,57,19.2849885,-99.14059383,0.187988281,0.078613281,0.805908203,28:50.3,00:06.8
58,58,19.2849885,-99.14059383,0.206787109,0.044921875,0.843994141,28:50.3,00:06.9
59,59,19.2849885,-99.14059383,0.160400391,0.150878906,0.865966797,28:50.4,00:06.9
60,60,19.2849885,-99.14059383,0.206787109,0.154785156,0.843994141,28:50.4,00:06.9
61,61,19.2849885,-99.14059383,0.199707031,0.121826172,0.827636719,28:50.4,00:06.9
62,62,19.2849885,-99.14059383,0.065673828,0.060546875,1.027587891,28:50.4,00:07.0
63,63,19.2849885,-99.14059383,0.037597656,0.060546875,0.940673828,28:50.5,00:07.0
64,64,19.28494283,-99.140601,0.178710938,0.127197266,0.979736328,28:50.8,00:07.3
65,65,19.28494283,-99.140601,0.100097656,0.077392578,0.895263672,28:50.8,00:07.3
66,66,19.28494283,-99.140601,0.125732422,0.082275391,0.893066406,28:50.9,00:07.4
67,67,19.28494283,-99.140601,0.123046875,0.078125,1.008789063,28:50.9,00:07.5
68,68,19.28494283,-99.140601,0.069580078,0.064697266,0.862304688,28:51.0,00:07.5
69,69,19.28494283,-99.140601,0.039306641,0.067382813,0.870605469,28:51.1,00:07.6
70,70,19.28494283,-99.140601,0.016601563,0.112060547,0.96875,28:51.2,00:07.7
71,71,19.28494283,-99.140601,0.096435547,0.101806641,0.931152344,28:51.2,00:07.8
72,72,19.28494283,-99.140601,0.146728516,0.157470703,0.874023438,28:51.3,00:07.8
73,73,19.28489517,-99.1406005,0.1640625,0.063232422,0.883544922,28:51.8,00:08.3
74,74,19.28489517,-99.1406005,0.120361328,0.021728516,0.914794922,28:51.8,00:08.3
75,75,19.28489517,-99.1406005,0.133789063,0.115722656,0.905761719,28:51.9,00:08.4
76,76,19.28489517,-99.1406005,0.153320313,0.078613281,0.92578125,28:53.1,00:09.6
77,77,19.28489517,-99.1406005,0.145751953,0.053222656,0.864990234,28:53.1,00:09.6
