countOBU,countRSU,latitude,longitude,Ax,Ay,Az,datetime,timeFromBeginning
1,1,0,0,0.119384766,0.083251953,0.888183594,54:02.2,00:00.1
2,2,0,0,0.096923828,0.09765625,0.891601563,54:02.2,00:00.1
3,3,0,0,0.104736328,0.106445313,0.948974609,54:02.3,00:00.2
4,4,0,0,0.111816406,0.086669922,0.937988281,54:02.4,00:00.3
5,5,0,0,0.098876953,0.097167969,0.902587891,54:02.5,00:00.4
6,6,0,0,0.094970703,0.086181641,0.889160156,54:02.5,00:00.4
7,7,0,0,0.119873047,0.0703125,0.8984375,54:02.6,00:00.5
8,8,0,0,0.140380859,0.063964844,0.885253906,54:02.6,00:00.5
9,9,0,0,0.124267578,0.100830078,0.902587891,54:02.7,00:00.6
10,10,19.286736,-99.140329,0.107910156,0.103027344,0.894287109,54:03.2,00:01.1
11,11,19.286736,-99.140329,0.117431641,0.096191406,0.931884766,54:03.2,00:01.1
12,12,19.286736,-99.140329,0.099853516,0.091552734,0.927978516,54:03.3,00:01.2
13,13,19.286736,-99.140329,0.104003906,0.107910156,0.910644531,54:03.4,00:01.3
14,14,19.286736,-99.140329,0.104248047,0.091552734,0.910888672,54:03.5,00:01.4
15,15,19.286736,-99.140329,0.115478516,0.086914063,0.890869141,54:03.5,00:01.4
16,16,19.286736,-99.140329,0.11328125,0.082275391,0.891113281,54:03.6,00:01.5
17,17,19.286736,-99.140329,0.11328125,0.088378906,0.883789063,54:03.6,00:01.5
18,18,19.286736,-99.140329,0.115478516,0.094970703,0.919921875,54:03.7,00:01.6
19,19,19.28673633,-99.14032733,0.1015625,0.098388672,0.937988281,54:04.2,00:02.1
20,20,19.28673633,-99.14032733,0.111083984,0.099609375,0.934082031,54:04.3,00:02.2
21,21,19.28673633,-99.14032733,0.120361328,0.080322266,0.905029297,54:04.4,00:02.3
22,22,19.28673633,-99.14032733,0.112792969,0.090087891,0.938964844,54:04.4,00:02.3
23,23,19.28673633,-99.14032733,0.098144531,0.099121094,0.922607422,54:04.5,00:02.4
24,24,19.28673633,-99.14032733,0.123046875,0.102539063,0.900634766,54:04.5,00:02.4
25,25,19.28673633,-99.14032733,0.115966797,0.092041016,0.883789063,54:04.6,00:02.5
26,26,19.28673633,-99.14032733,0.106445313,0.100097656,0.936279297,54:05.9,00:03.8
27,27,19.28673633,-99.14032733,0.123535156,0.092285156,0.905029297,54:05.9,00:03.8
28,28,19.2867365,-99.14032617,0.109375,0.080322266,0.913085938,54:05.9,00:03.8
29,29,19.2867365,-99.14032617,0.123535156,0.079833984,0.887939453,54:05.9,00:03.8
30,30,19.2867365,-99.14032617,0.111816406,0.083496094,0.897216797,54:06.0,00:03.8
31,31,19.2867365,-99.14032617,0.108154297,0.093505859,0.934082031,54:06.0,00:03.9
32,32,19.2867365,-99.14032617,0.105224609,0.091064453,0.953613281,54:06.0,00:03.9
33,33,19.2867365,-99.14032617,0.11328125,0.105712891,0.903564453,54:06.0,00:03.9
34,34,19.2867365,-99.14032617,0.099121094,0.098876953,0.931396484,54:06.0,00:03.9
35,35,19.2867365,-99.14032617,0.110351563,0.091552734,0.889160156,54:06.1,00:04.0
36,36,19.2867365,-99.14032617,0.119873047,0.094238281,0.935546875,54:06.1,00:04.0
37,37,19.286737,-99.14032483,0.121582031,0.097412109,0.931396484,54:06.2,00:04.1
38,38,19.286737,-99.14032483,0.107666016,0.094726563,0.942626953,54:06.2,00:04.1
39,39,19.286737,-99.14032483,0.098144531,0.094238281,0.932617188,54:06.3,00:04.2
40,40,19.286737,-99.14032483,0.124755859,0.107910156,0.930419922,54:06.4,00:04.3
41,41,19.286737,-99.14032483,0.099121094,0.088134766,0.930664063,54:06.5,00:04.4
42,42,19.286737,-99.14032483,0.108154297,0.092773438,0.903076172,54:06.5,00:04.4
43,43,19.286737,-99.14032483,0.108886719,0.091552734,0.910888672,54:06.6,00:04.5
44,44,19.286737,-99.14032483,0.108154297,0.093261719,0.881835938,54:06.6,00:04.5
45,45,19.286737,-99.14032483,0.111328125,0.069091797,0.890625,54:06.7,00:04.6
46,46,19.28673767,-99.14032233,0.112060547,0.086914063,0.951660156,54:07.2,00:05.1
47,47,19.28673767,-99.14032233,0.109130859,0.082763672,0.915283203,54:07.2,00:05.1
48,48,19.28673767,-99.14032233,0.120361328,0.102050781,0.939697266,54:07.3,00:05.2
49,49,19.28673767,-99.14032233,0.106201172,0.099853516,0.95703125,54:07.4,00:05.3
50,50,19.28673767,-99.14032233,0.120361328,0.097900391,0.936279297,54:07.5,00:05.4
51,51,19.28673767,-99.14032233,0.115966797,0.092773438,0.907958984,54:08.7,00:06.6
52,52,19.28673767,-99.14032233,0.119873047,0.082763672,0.880126953,54:08.8,00:06.7
53,53,19.28673767,-99.14032233,0.124755859,0.086914063,0.883789063,54:08.8,00:06.7
54,54,19.28673767,-99.14032233,0.117919922,0.094726563,0.943603516,54:08.8,00:06.7
55,55,19.28673817,-99.14032083,0.102539063,0.096923828,0.934570313,54:08.8,00:06.7
56,56,19.28673817,-99.14032083,0.118164063,0.088867188,0.902099609,54:08.8,00:06.7
57,57,19.28673817,-99.14032083,0.109863281,0.098144531,0.913330078,54:08.8,00:06.7
58,58,19.28673817,-99.14032083,0.114257813,0.085449219,0.885009766,54:08.9,00:06.8
59,59,19.28673817,-99.14032083,0.110351563,0.102050781,0.952880859,54:08.9,00:06.8
60,60,19.28673817,-99.14032083,0.120605469,0.099853516,0.922119141,54:08.9,00:06.8
61,61,19.28673817,-99.14032083,0.116943359,0.077392578,0.901123047,54:08.9,00:06.8
62,62,19.28673817,-99.14032083,0.114501953,0.096679688,0.914306641,54:08.9,00:06.8
63,63,19.28673817,-99.14032083,0.107421875,0.084716797,0.885986328,54:08.9,00:06.8
64,64,19.286739,-99.1403185,0.098144531,0.090087891,0.947509766,54:09.2,00:07.1
65,65,19.286739,-99.1403185,0.115966797,0.107666016,0.889404297,54:09.4,00:07.3
66,66,19.286739,-99.1403185,0.108886719,0.095703125,0.892089844,54:09.4,00:07.3
67,67,19.286739,-99.1403185,0.104736328,0.090820313,0.933105469,54:09.4,00:07.3
68,68,19.286739,-99.1403185,0.09375,0.0859375,0.9375,54:09.5,00:07.4
69,69,19.286739,-99.1403185,0.114990234,0.091796875,0.924072266,54:09.5,00:07.4
70,70,19.286739,-99.1403185,0.122558594,0.100097656,0.903564453,54:09.6,00:07.5
71,71,19.286739,-99.1403185,0.123779297,0.079833984,0.894287109,54:09.6,00:07.5
72,72,19.286739,-99.1403185,0.113525391,0.081298828,0.90234375,54:09.7,00:07.6
73,73,19.28673967,-99.14031683,0.124267578,0.092285156,0.882080078,54:10.2,00:08.1
74,74,19.28673967,-99.14031683,0.113769531,0.089599609,0.891357422,54:10.2,00:08.1
75,75,19.28673967,-99.14031683,0.099853516,0.089355469,0.923583984,54:10.3,00:08.2
76,76,19.28673967,-99.14031683,0.112304688,0.077636719,0.921630859,54:11.7,00:09.6
77,77,19.28673967,-99.14031683,0.112060547,0.088867188,0.893554688,54:11.8,00:09.7
78,78,19.28673967,-99.14031683,0.109375,0.08203125,0.950195313,54:11.8,00:09.7
79,79,19.28673967,-99.14031683,0.118408203,0.105224609,0.931884766,54:11.8,00:09.7
80,80,19.28673967,-99.14031683,0.098144531,0.093994141,0.933349609,54:11.8,00:09.7
81,81,19.28673967,-99.14031683,0.115722656,0.072998047,0.882324219,54:11.8,00:09.7
82,82,19.28674033,-99.14031433,0.119140625,0.108154297,0.920654297,54:11.8,00:09.7
83,83,19.28674033,-99.14031433,0.107421875,0.093505859,0.895996094,54:11.8,00:09.7
84,84,19.28674033,-99.14031433,0.111572266,0.069335938,0.905761719,54:11.9,00:09.7
85,85,19.28674033,-99.14031433,0.115478516,0.100585938,0.893554688,54:11.9,00:09.8
86,86,19.28674033,-99.14031433,0.109863281,0.090820313,0.901367188,54:11.9,00:09.8
87,87,19.28674033,-99.14031433,0.117919922,0.072998047,0.885986328,54:11.9,00:09.8
88,88,19.28674033,-99.14031433,0.119384766,0.083740234,0.889648438,54:11.9,00:09.8
89,89,19.28674033,-99.14031433,0.106689453,0.101318359,0.925292969,54:11.9,00:09.8
90,90,19.28674033,-99.14031433,0.109863281,0.081298828,0.908447266,54:12.0,00:09.9
91,91,19.286741,-99.14031133,0.117675781,0.082275391,0.873291016,54:12.2,00:10.1
92,92,19.286741,-99.14031133,0.140136719,0.087402344,0.878662109,54:12.2,00:10.1
93,93,19.286741,-99.14031133,0.122314453,0.089111328,0.889892578,54:12.3,00:10.2
94,94,19.286741,-99.14031133,0.108398438,0.098876953,0.895263672,54:12.4,00:10.3
95,95,19.286741,-99.14031133,0.104003906,0.100830078,0.918945313,54:12.5,00:10.4
96,96,19.286741,-99.14031133,0.095458984,0.103271484,0.936767578,54:12.5,00:10.4
97,97,19.286741,-99.14031133,0.102783203,0.094238281,0.933349609,54:12.6,00:10.5
98,98,19.286741,-99.14031133,0.106933594,0.102783203,0.940429688,54:12.6,00:10.5
99,99,19.286741,-99.14031133,0.117675781,0.087158203,0.9609375,54:12.7,00:10.6
100,100,19.2867415,-99.14030867,0.105712891,0.084960938,0.8984375,54:13.2,00:11.1
101,101,19.2867415,-99.14030867,0.122802734,0.090087891,0.912841797,54:14.4,00:12.3
102,102,19.2867415,-99.14030867,0.111816406,0.090087891,0.924804688,54:14.4,00:12.3
103,103,19.2867415,-99.14030867,0.100341797,0.082763672,0.911132813,54:14.4,00:12.3
104,104,19.2867415,-99.14030867,0.117919922,0.079833984,0.891601563,54:14.4,00:12.3
105,105,19.2867415,-99.14030867,0.104980469,0.08203125,0.890380859,54:14.5,00:12.4
106,106,19.2867415,-99.14030867,0.113525391,0.086425781,0.920654297,54:14.5,00:12.4
107,107,19.2867415,-99.14030867,0.124267578,0.080566406,0.903076172,54:14.5,00:12.4
108,108,19.2867415,-99.14030867,0.098876953,0.093994141,0.947021484,54:14.5,00:12.4
109,109,19.28674183,-99.1403065,0.109863281,0.108886719,0.916015625,54:14.5,00:12.4
110,110,19.28674183,-99.1403065,0.091552734,0.12109375,0.934082031,54:14.5,00:12.4
111,111,19.28674183,-99.1403065,0.112792969,0.105957031,0.940673828,54:14.6,00:12.5
112,112,19.28674183,-99.1403065,0.109863281,0.08984375,0.887939453,54:14.6,00:12.5
113,113,19.28674183,-99.1403065,0.11328125,0.095947266,0.952392578,54:14.6,00:12.5
114,114,19.28674183,-99.1403065,0.114990234,0.090576172,0.915527344,54:14.6,00:12.5
115,115,19.28674183,-99.1403065,0.118408203,0.099853516,0.875,54:14.6,00:12.5
116,116,19.28674183,-99.1403065,0.115722656,0.0859375,0.903320313,54:14.6,00:12.5
117,117,19.28674183,-99.1403065,0.1171875,0.084228516,0.904296875,54:14.7,00:12.6
118,118,19.28674183,-99.14030517,0.119873047,0.103271484,0.887207031,54:15.2,00:13.1
119,119,19.28674183,-99.14030517,0.095458984,0.078613281,0.874267578,54:15.2,00:13.1
120,120,19.28674183,-99.14030517,0.116455078,0.075927734,0.883056641,54:15.3,00:13.2
121,121,19.28674183,-99.14030517,0.105957031,0.079101563,0.883300781,54:15.4,00:13.3
122,122,19.28674183,-99.14030517,0.120849609,0.079833984,0.921142578,54:15.5,00:13.4
123,123,19.28674183,-99.14030517,0.094238281,0.087646484,0.938720703,54:15.5,00:13.4
124,124,19.28674183,-99.14030517,0.106689453,0.082275391,0.941162109,54:15.6,00:13.5
125,125,19.28674183,-99.14030517,0.094238281,0.094238281,0.934570313,54:15.6,00:13.5
126,126,19.28674183,-99.14030517,0.115478516,0.093017578,0.878662109,54:16.9,00:14.8
127,127,19.28674183,-99.14030367,0.116455078,0.077636719,0.911621094,54:16.9,00:14.8
128,128,19.28674183,-99.14030367,0.114990234,0.084716797,0.884765625,54:16.9,00:14.8
129,129,19.28674183,-99.14030367,0.118408203,0.097167969,0.874511719,54:17.0,00:14.9
130,130,19.28674183,-99.14030367,0.112792969,0.08203125,0.930175781,54:17.0,00:14.9
131,131,19.28674183,-99.14030367,0.117919922,0.091064453,0.875488281,54:17.0,00:14.9
132,132,19.28674183,-99.14030367,0.102050781,0.107421875,0.894775391,54:17.0,00:14.9
133,133,19.28674183,-99.14030367,0.110839844,0.083984375,0.940917969,54:17.0,00:14.9
134,134,19.28674183,-99.14030367,0.098388672,0.104492188,0.930419922,54:17.0,00:14.9
