countOBU,countRSU,latitude,longitude,Ax,Ay,Az,datetime,timeFromBeginning
1,1,0,0,0.100585938,0.095703125,0.939208984,13:41.7,00:00.1
2,2,0,0,0.096679688,0.081787109,0.940185547,13:41.7,00:00.2
3,3,19.2867445,-99.14033467,0.098632813,0.091064453,0.928710938,13:42.2,00:00.7
4,4,19.2867445,-99.14033467,0.116210938,0.089599609,0.870605469,13:42.3,00:00.7
5,5,19.2867445,-99.14033467,0.097900391,0.086669922,0.889160156,13:42.3,00:00.8
6,6,19.2867445,-99.14033467,0.102050781,0.103027344,0.92578125,13:42.4,00:00.9
7,7,19.2867445,-99.14033467,0.102294922,0.108642578,0.908447266,13:42.5,00:00.9
8,8,19.2867445,-99.14033467,0.099853516,0.094238281,0.944824219,13:42.6,00:01.0
9,9,19.2867445,-99.14033467,0.112792969,0.091796875,0.935791016,13:42.6,00:01.1
10,10,19.2867445,-99.14033467,0.098388672,0.089355469,0.916259766,13:42.7,00:01.1
11,11,19.2867445,-99.14033467,0.129150391,0.073730469,0.887451172,13:42.7,00:01.2
12,12,19.2867445,-99.14033617,0.108398438,0.089599609,0.889648438,13:43.2,00:01.7
13,13,19.2867445,-99.14033617,0.113037109,0.095947266,0.931884766,13:43.3,00:01.7
14,14,19.2867445,-99.14033617,0.108398438,0.102050781,0.935791016,13:43.3,00:01.8
15,15,19.2867445,-99.14033617,0.094970703,0.088867188,0.942382813,13:43.4,00:01.9
16,16,19.2867445,-99.14033617,0.110351563,0.098632813,0.918701172,13:43.5,00:01.9
17,17,19.2867445,-99.14033617,0.110839844,0.084716797,0.896240234,13:43.6,00:02.0
18,18,19.2867445,-99.14033617,0.11328125,0.088867188,0.887939453,13:43.6,00:02.1
19,19,19.2867445,-99.14033617,0.120361328,0.084472656,0.880371094,13:43.7,00:02.1
20,20,19.2867445,-99.14033617,0.1015625,0.106201172,0.916503906,13:43.7,00:02.2
21,21,19.286744,-99.14033833,0.100830078,0.103271484,0.928955078,13:44.2,00:02.7
22,22,19.286744,-99.14033833,0.098388672,0.088134766,0.917236328,13:44.3,00:02.7
23,23,19.286744,-99.14033833,0.106933594,0.084960938,0.905029297,13:44.3,00:02.8
24,24,19.286744,-99.14033833,0.115722656,0.081298828,0.891357422,13:44.4,00:02.9
25,25,19.286744,-99.14033833,0.110595703,0.090087891,0.897705078,13:44.5,00:02.9
26,26,19.286744,-99.14033833,0.118164063,0,0.91796875,13:46.7,00:05.2
27,27,19.286744,-99.14033833,0.096679688,0.006591797,0.918212891,13:46.7,00:05.2
28,28,19.286744,-99.14033833,0.118652344,0.008056641,0.895019531,13:46.8,00:05.2
