countOBU,countRSU,latitude,longitude,Ax,Ay,Az,datetime,timeFromBeginning
1,1,0,0,0.112792969,0.091308594,0.942871094,16:09.4,00:00.2
2,2,0,0,0.116699219,0.092041016,0.919433594,16:09.5,00:00.3
3,3,0,0,0.113769531,0.086425781,0.895996094,16:09.6,00:00.4
4,4,0,0,0.124267578,0.089599609,0.875976563,16:09.6,00:00.4
5,5,0,0,0.124023438,0.079101563,0.885253906,16:09.7,00:00.5
6,6,0,0,0.101318359,0.097900391,0.936523438,16:09.7,00:00.5
7,7,19.28674617,-99.14036967,0.124267578,0.025878906,0.876220703,16:10.2,00:01.0
8,8,19.28674617,-99.14036967,0.099121094,0.039550781,0.958984375,16:10.3,00:01.1
9,9,19.28674617,-99.14036967,0.114746094,-0.004638672,0.929931641,16:10.3,00:01.1
10,10,19.28674617,-99.14036967,0.139160156,-0.020263672,0.917724609,16:10.4,00:01.2
11,11,19.28674617,-99.14036967,0.134521484,-0.057128906,0.901611328,16:10.5,00:01.3
12,12,19.28674617,-99.14036967,0.132568359,-0.041748047,0.880371094,16:10.6,00:01.4
13,13,19.28674617,-99.14036967,0.130371094,-0.058349609,0.914794922,16:10.6,00:01.4
14,14,19.28674617,-99.14036967,0.122070313,-0.052246094,0.923583984,16:10.7,00:01.5
15,15,19.28674617,-99.14036967,0.130859375,-0.070800781,0.932128906,16:10.7,00:01.5
16,16,19.28674133,-99.14037483,0.124267578,-0.155273438,0.877441406,16:11.2,00:02.0
17,17,19.28674133,-99.14037483,0.135253906,-0.141845703,0.914550781,16:11.3,00:02.1
18,18,19.28674133,-99.14037483,0.155273438,-0.137695313,0.952880859,16:11.3,00:02.1
19,19,19.28674133,-99.14037483,0.130371094,-0.129394531,0.947753906,16:11.4,00:02.2
20,20,19.28674133,-99.14037483,0.147460938,-0.118652344,0.952880859,16:11.5,00:02.3
21,21,19.28674133,-99.14037483,0.150878906,-0.075439453,0.910888672,16:11.6,00:02.4
22,22,19.28674133,-99.14037483,0.135253906,-0.089355469,0.878173828,16:11.6,00:02.4
23,23,19.28674133,-99.14037483,0.121337891,-0.109619141,0.884765625,16:11.7,00:02.5
24,24,19.28674133,-99.14037483,0.099609375,-0.127441406,0.997558594,16:11.7,00:02.5
25,25,19.28672133,-99.14037917,0.087158203,-0.076171875,0.911132813,16:12.2,00:03.0
26,26,19.28672133,-99.14037917,0.094726563,0.096191406,0.905517578,16:13.5,00:04.3
27,27,19.28672133,-99.14037917,0.061523438,0.191894531,0.931152344,16:13.5,00:04.3
28,28,19.28672133,-99.14037917,0.117919922,0.094970703,0.86328125,16:13.5,00:04.3
29,29,19.28672133,-99.14037917,0.154541016,0.098144531,0.9765625,16:13.6,00:04.4
30,30,19.28672133,-99.14037917,0.140380859,0.080322266,0.922851563,16:13.6,00:04.4
31,31,19.28672133,-99.14037917,0.170898438,0.110107422,0.825683594,16:13.6,00:04.4
32,32,19.28672133,-99.14037917,0.109863281,0.1328125,0.942626953,16:13.6,00:04.4
33,33,19.28672133,-99.14037917,0.125,0.080322266,0.916015625,16:13.6,00:04.4
34,34,19.28668467,-99.14037883,0.147949219,0.105224609,0.853759766,16:13.7,00:04.5
35,35,19.28668467,-99.14037883,0.119140625,0.150634766,0.942138672,16:13.7,00:04.5
36,36,19.28668467,-99.14037883,0.161376953,0.082275391,0.869384766,16:13.7,00:04.5
37,37,19.28668467,-99.14037883,0.138427734,0.079345703,0.935302734,16:13.7,00:04.5
38,38,19.28668467,-99.14037883,0.146972656,0.120605469,0.875,16:13.7,00:04.5
39,39,19.28668467,-99.14037883,0.14453125,0.162841797,0.967773438,16:13.8,00:04.6
40,40,19.28668467,-99.14037883,0.105224609,0.098388672,0.866699219,16:13.8,00:04.6
41,41,19.28668467,-99.14037883,0.109130859,0.102050781,0.937744141,16:13.8,00:04.6
42,42,19.28668467,-99.14037883,0.075195313,0.111328125,0.929199219,16:13.8,00:04.6
43,43,19.28664383,-99.14037567,0.091552734,-0.189941406,1.010986328,16:14.2,00:05.0
44,44,19.28664383,-99.14037567,0.135742188,-0.178710938,0.94921875,16:14.3,00:05.1
45,45,19.28664383,-99.14037567,0.111816406,-0.034912109,0.89453125,16:14.4,00:05.2
46,46,19.28664383,-99.14037567,0.027587891,0.075439453,0.886474609,16:14.4,00:05.2
47,47,19.28664383,-99.14037567,0.093994141,0.042236328,0.906005859,16:14.5,00:05.3
