countOBU,countRSU,latitude,longitude,Ax,Ay,Az,datetime,timeFromBeginning
1,1,0,0,0.11328125,0.090332031,0.885253906,00:13.2,00:00.2
2,2,0,0,0.122314453,0.080810547,0.905761719,00:13.2,00:00.3
3,3,0,0,0.096679688,0.09765625,0.934082031,00:13.3,00:00.4
4,4,0,0,0.100830078,0.104736328,0.941162109,00:13.4,00:00.4
5,5,0,0,0.097900391,0.090576172,0.939208984,00:13.5,00:00.5
6,6,0,0,0.106201172,0.094238281,0.931152344,00:13.5,00:00.6
7,7,0,0,0.108886719,0.079833984,0.901123047,00:13.6,00:00.6
8,8,0,0,0.115966797,0.089111328,0.890869141,00:13.7,00:00.7
9,9,0,0,0.098632813,0.096679688,0.914794922,00:13.7,00:00.7
10,10,19.286739,-99.14032167,0.101318359,0.083251953,0.897949219,00:14.2,00:01.2
11,11,19.286739,-99.14032167,0.099365234,0.083984375,0.872314453,00:14.2,00:01.3
12,12,19.286739,-99.14032167,0.110351563,0.077148438,0.891113281,00:14.3,00:01.4
13,13,19.286739,-99.14032167,0.116210938,0.072265625,0.879882813,00:14.4,00:01.4
14,14,19.286739,-99.14032167,0.116455078,0.071533203,0.936279297,00:14.5,00:01.5
15,15,19.286739,-99.14032167,0.110107422,0.095214844,0.931152344,00:14.5,00:01.6
16,16,19.286739,-99.14032167,0.100341797,0.094482422,0.950927734,00:14.6,00:01.6
17,17,19.286739,-99.14032167,0.088867188,0.093994141,0.931396484,00:14.7,00:01.7
18,18,19.286739,-99.14032167,0.115478516,0.093017578,0.897460938,00:14.7,00:01.7
19,19,19.28673833,-99.14032233,0.104736328,0.102294922,0.948486328,00:15.2,00:02.2
20,20,19.28673833,-99.14032233,0.112304688,0.096679688,0.926025391,00:15.2,00:02.3
21,21,19.28673833,-99.14032233,0.095458984,0.1015625,0.937011719,00:15.3,00:02.3
22,22,19.28673833,-99.14032233,0.111083984,0.09765625,0.906005859,00:15.4,00:02.4
23,23,19.28673833,-99.14032233,0.105224609,0.103515625,0.930419922,00:15.5,00:02.5
24,24,19.28673833,-99.14032233,0.099365234,0.085449219,0.886962891,00:15.5,00:02.6
25,25,19.28673833,-99.14032233,0.104736328,0.099853516,0.874267578,00:15.6,00:02.6
26,26,19.28673833,-99.14032233,0.104248047,0.091796875,0.936767578,00:16.9,00:04.0
27,27,19.28673833,-99.14032233,0.113037109,0.080810547,0.884277344,00:16.9,00:04.0
28,28,19.28673867,-99.14032083,0.107910156,0.090332031,0.950683594,00:17.0,00:04.0
29,29,19.28673867,-99.14032083,0.097900391,0.104736328,0.932861328,00:17.0,00:04.0
30,30,19.28673867,-99.14032083,0.108154297,0.094238281,0.924072266,00:17.0,00:04.0
31,31,19.28673867,-99.14032083,0.107421875,0.080566406,0.940185547,00:17.0,00:04.0
32,32,19.28673867,-99.14032083,0.115966797,0.078857422,0.905517578,00:17.0,00:04.1
33,33,19.28673867,-99.14032083,0.105712891,0.104003906,0.899414063,00:17.0,00:04.1
34,34,19.28673867,-99.14032083,0.126708984,0.087402344,0.90234375,00:17.1,00:04.1
35,35,19.28673867,-99.14032083,0.107421875,0.107177734,0.881347656,00:17.1,00:04.1
36,36,19.28673867,-99.14032083,0.106445313,0.083740234,0.935791016,00:17.1,00:04.1
37,37,19.28673883,-99.14031883,0.119628906,0.087402344,0.882324219,00:17.2,00:04.2
38,38,19.28673883,-99.14031883,0.113769531,0.07421875,0.87890625,00:17.2,00:04.3
39,39,19.28673883,-99.14031883,0.114990234,0.065917969,0.891113281,00:17.3,00:04.4
40,40,19.28673883,-99.14031883,0.111816406,0.048583984,0.879394531,00:17.4,00:04.4
41,41,19.28673883,-99.14031883,0.102050781,0.082275391,0.901855469,00:17.5,00:04.5
42,42,19.28673883,-99.14031883,0.109130859,0.090332031,0.914550781,00:17.5,00:04.6
43,43,19.28673883,-99.14031883,0.096435547,0.080078125,0.934082031,00:17.6,00:04.6
44,44,19.28673883,-99.14031883,0.094238281,0.093505859,0.9296875,00:17.7,00:04.7
