countOBU,countRSU,latitude,longitude,Ax,Ay,Az,datetime,timeFromBeginning
1,1,0,0,0.107910156,0.086181641,0.884033203,04:59.4,00:00.1
2,2,0,0,0.097167969,0.101806641,0.912597656,04:59.5,00:00.1
3,3,0,0,0.112304688,0.09765625,0.919189453,04:59.6,00:00.2
4,4,0,0,0.104492188,0.097412109,0.908447266,04:59.6,00:00.3
5,5,0,0,0.097167969,0.096923828,0.926269531,04:59.7,00:00.3
6,6,0,0,0.118164063,0.088378906,0.886230469,04:59.8,00:00.5
7,7,19.28670067,-99.1403245,0.121337891,0.075439453,0.909423828,05:00.2,00:00.9
8,8,19.28670067,-99.1403245,0.12890625,0.0625,0.877685547,05:00.2,00:00.9
9,9,19.28670067,-99.1403245,0.121337891,0.069091797,0.872558594,05:00.3,00:01.0
10,10,19.28670067,-99.1403245,0.11328125,0.064697266,0.903076172,05:00.4,00:01.1
11,11,19.28670067,-99.1403245,0.092529297,0.105224609,0.888183594,05:00.5,00:01.1
12,12,19.28670067,-99.1403245,0.108154297,0.097412109,0.931884766,05:00.5,00:01.2
13,13,19.28670067,-99.1403245,0.098632813,0.110351563,0.935791016,05:00.6,00:01.3
14,14,19.28670067,-99.1403245,0.110839844,0.103271484,0.923583984,05:00.7,00:01.3
15,15,19.28670067,-99.1403245,0.105712891,0.101074219,0.921630859,05:00.7,00:01.4
16,16,19.2867005,-99.140325,0.15234375,0.027587891,0.947021484,05:01.2,00:01.9
17,17,19.2867005,-99.140325,0.127685547,0.018554688,0.967285156,05:01.2,00:01.9
18,18,19.2867005,-99.140325,0.115966797,-0.030273438,0.924316406,05:01.3,00:02.0
19,19,19.2867005,-99.140325,0.121826172,-0.033203125,0.942626953,05:01.4,00:02.1
20,20,19.2867005,-99.140325,0.120849609,-0.051269531,0.947265625,05:01.5,00:02.1
21,21,19.2867005,-99.140325,0.128173828,-0.062744141,0.928466797,05:01.5,00:02.2
22,22,19.2867005,-99.140325,0.145263672,-0.078369141,0.919189453,05:01.6,00:02.3
23,23,19.2867005,-99.140325,0.149169922,-0.138183594,0.893310547,05:01.7,00:02.3
24,24,19.2867005,-99.140325,0.115722656,-0.099609375,0.938964844,05:01.7,00:02.4
25,25,19.28669317,-99.14032883,0.118896484,-0.143798828,0.988769531,05:02.2,00:02.9
26,26,19.28669317,-99.14032883,0.073974609,-0.026855469,0.932861328,05:03.4,00:04.0
27,27,19.28669317,-99.14032883,0.104003906,-0.042236328,0.933105469,05:03.4,00:04.1
28,28,19.28669317,-99.14032883,0.119384766,-0.027099609,0.885498047,05:03.4,00:04.1
29,29,19.28669317,-99.14032883,0.089599609,-0.025634766,0.899902344,05:03.4,00:04.1
30,30,19.28669317,-99.14032883,0.099365234,-0.032958984,0.979980469,05:03.4,00:04.1
31,31,19.28669317,-99.14032883,0.089599609,-0.037841797,0.957519531,05:03.5,00:04.1
32,32,19.28669317,-99.14032883,0.1015625,-0.050048828,0.916259766,05:03.5,00:04.1
33,33,19.28669317,-99.14032883,0.145263672,-0.087158203,0.865234375,05:03.5,00:04.2
34,34,19.28666883,-99.14032817,0.141357422,-0.056884766,0.908447266,05:03.5,00:04.2
35,35,19.28666883,-99.14032817,0.133056641,-0.050292969,0.923828125,05:03.5,00:04.2
36,36,19.28666883,-99.14032817,0.21875,-0.097167969,0.806884766,05:03.6,00:04.2
37,37,19.28666883,-99.14032817,0.191650391,-0.104492188,0.966064453,05:03.6,00:04.2
38,38,19.28666883,-99.14032817,0.136230469,-0.064697266,1.062255859,05:03.6,00:04.2
39,39,19.28666883,-99.14032817,0.104492188,-0.073486328,0.983642578,05:03.6,00:04.3
40,40,19.28666883,-99.14032817,0.088378906,-0.069824219,0.925537109,05:03.6,00:04.3
41,41,19.28666883,-99.14032817,0.125488281,-0.15234375,0.891113281,05:03.7,00:04.4
42,42,19.28666883,-99.14032817,0.004394531,0.019042969,1.020507813,05:03.7,00:04.4
43,43,19.28662917,-99.14033283,0.096679688,0.089111328,0.888183594,05:04.2,00:04.9
44,44,19.28662917,-99.14033283,0.127197266,0.118652344,0.854736328,05:04.3,00:04.9
45,45,19.28662917,-99.14033283,0.077392578,0.106689453,0.882568359,05:04.3,00:05.0
46,46,19.28662917,-99.14033283,0.073974609,0.069824219,0.905761719,05:04.4,00:05.1
47,47,19.28662917,-99.14033283,0.090576172,0.122070313,0.893798828,05:04.5,00:05.2
48,48,19.28662917,-99.14033283,0.084228516,0.161865234,0.950439453,05:04.6,00:05.2
