countOBU,countRSU,latitude,longitude,Ax,Ay,Az,datetime,timeFromBeginning
1,1,0,0,0.144775391,-0.187011719,0.895019531,24:37.1,00:00.0
2,2,0,0,0.164794922,-0.193115234,0.884033203,24:37.2,00:00.1
3,3,0,0,0.169677734,-0.161132813,0.942138672,24:37.3,00:00.2
4,4,19.28523517,-99.140561,0.109375,0.03515625,0.882080078,24:37.8,00:00.7
5,5,19.28523517,-99.140561,0.139892578,0.030517578,0.879882813,24:37.8,00:00.7
6,6,19.28523517,-99.140561,0.177734375,0.037109375,0.887695313,24:37.9,00:00.8
7,7,19.28523517,-99.140561,0.148193359,-0.073730469,0.916748047,24:37.9,00:00.9
8,8,19.28523517,-99.140561,0.191894531,-0.140625,0.909667969,24:38.0,00:00.9
9,9,19.28523517,-99.140561,0.152832031,-0.148925781,0.977050781,24:38.1,00:01.0
10,10,19.28523517,-99.140561,0.077392578,-0.142822266,0.971923828,24:38.2,00:01.1
11,11,19.28523517,-99.140561,0.096191406,-0.107910156,0.891601563,24:38.2,00:01.1
12,12,19.28523517,-99.140561,0.082275391,-0.067626953,0.918457031,24:38.3,00:01.2
13,13,19.2852065,-99.14055867,0.099121094,-0.041503906,0.901123047,24:38.8,00:01.7
14,14,19.2852065,-99.14055867,0.101074219,-0.064208984,0.835205078,24:38.8,00:01.7
15,15,19.2852065,-99.14055867,0.109130859,-0.038085938,0.852783203,24:38.9,00:01.8
16,16,19.2852065,-99.14055867,0.094726563,-0.021728516,0.903076172,24:38.9,00:01.9
17,17,19.2852065,-99.14055867,0.089111328,-0.026367188,0.876708984,24:39.0,00:01.9
18,18,19.2852065,-99.14055867,0.043212891,0.022705078,0.955810547,24:39.1,00:02.0
19,19,19.2852065,-99.14055867,0.119140625,0.058105469,0.823730469,24:39.2,00:02.1
20,20,19.2852065,-99.14055867,0.029296875,0.144042969,0.982910156,24:39.2,00:02.2
21,21,19.2852065,-99.14055867,0.052978516,0.117675781,0.879150391,24:39.3,00:02.2
22,22,19.28516667,-99.1405515,0.015625,0.090820313,0.883056641,24:39.8,00:02.7
23,23,19.28516667,-99.1405515,0.059082031,0.126464844,0.862060547,24:39.8,00:02.7
24,24,19.28516667,-99.1405515,0.147216797,-0.069335938,0.888916016,24:39.9,00:02.8
25,25,19.28516667,-99.1405515,0.076660156,-0.110351563,0.922607422,24:39.9,00:02.9
26,26,19.28516667,-99.1405515,0.115966797,-0.088134766,0.874511719,24:41.2,00:04.1
27,27,19.28516667,-99.1405515,0.058837891,-0.075927734,0.910400391,24:41.2,00:04.1
28,28,19.28516667,-99.1405515,0.032470703,-0.041748047,0.894042969,24:41.2,00:04.1
29,29,19.28516667,-99.1405515,-0.021728516,0.044677734,0.923583984,24:41.2,00:04.1
30,30,19.28516667,-99.1405515,-0.010009766,0.032958984,0.935302734,24:41.2,00:04.2
31,31,19.2851245,-99.14055533,0.030517578,0.035400391,0.942382813,24:41.2,00:04.2
32,32,19.2851245,-99.14055533,0.056396484,0.011230469,0.873291016,24:41.2,00:04.2
33,33,19.2851245,-99.14055533,0.103271484,-0.034667969,0.89453125,24:41.3,00:04.2
34,34,19.2851245,-99.14055533,0.100585938,0.032714844,0.913574219,24:41.3,00:04.2
35,35,19.2851245,-99.14055533,0.068847656,0.041259766,0.875976563,24:41.3,00:04.2
36,36,19.2851245,-99.14055533,0.173095703,0.012939453,0.892333984,24:41.3,00:04.2
37,37,19.2851245,-99.14055533,0.163818359,0.00390625,0.864746094,24:41.3,00:04.3
38,38,19.2851245,-99.14055533,0.112304688,0.051025391,0.883544922,24:41.3,00:04.3
39,39,19.2851245,-99.14055533,0.096679688,0.062011719,0.874023438,24:41.4,00:04.3
40,40,19.28506667,-99.1405565,0.038330078,0.038818359,0.959716797,24:41.8,00:04.7
41,41,19.28506667,-99.1405565,0.165771484,0.004150391,0.933837891,24:41.8,00:04.7
