countOBU,countRSU,latitude,longitude,Ax,Ay,Az,datetime,timeFromBeginning
1,1,0,0,0.104492188,0.095947266,0.908203125,11:48.2,00:00.6
2,2,0,0,0.097412109,0.084716797,0.894775391,11:48.3,00:00.6
3,3,0,0,0.115722656,0.095214844,0.935791016,11:48.3,00:00.7
4,4,0,0,0.111816406,0.107177734,0.961914063,11:48.4,00:00.8
5,5,0,0,0.108154297,0.106201172,0.949707031,11:48.5,00:00.8
6,6,0,0,0.122314453,0.099609375,0.945068359,11:48.5,00:00.9
7,7,0,0,0.107910156,0.098876953,0.930419922,11:48.6,00:01.0
8,8,0,0,0.099853516,0.100830078,0.94140625,11:48.7,00:01.0
9,9,0,0,0.106933594,0.078613281,0.903808594,11:48.7,00:01.1
10,10,19.2867345,-99.14036333,0.100341797,0.106201172,0.950683594,11:49.2,00:01.6
11,11,19.2867345,-99.14036333,0.116699219,0.086914063,0.894042969,11:49.3,00:01.6
12,12,19.2867345,-99.14036333,0.112304688,0.08203125,0.908935547,11:49.3,00:01.7
13,13,19.2867345,-99.14036333,0.116455078,0.079345703,0.879150391,11:49.4,00:01.8
14,14,19.2867345,-99.14036333,0.080566406,0.092041016,0.948242188,11:49.5,00:01.8
15,15,19.2867345,-99.14036333,0.100341797,0.089111328,0.880615234,11:49.6,00:01.9
16,16,19.2867345,-99.14036333,0.108642578,0.079101563,0.89453125,11:49.6,00:02.0
17,17,19.2867345,-99.14036333,0.124511719,0.093017578,0.897949219,11:49.9,00:02.3
18,18,19.2867345,-99.14036333,0.118164063,0.102783203,0.9453125,11:50.1,00:02.5
19,19,19.28673517,-99.1403655,0.1015625,0.08984375,0.918945313,11:50.2,00:02.6
20,20,19.28673517,-99.1403655,0.107910156,0.102783203,0.938232422,11:50.3,00:02.6
21,21,19.28673517,-99.1403655,0.112304688,0.069091797,0.904541016,11:50.3,00:02.7
22,22,19.28673517,-99.1403655,0.110107422,0.095947266,0.940673828,11:50.5,00:02.8
23,23,19.28673517,-99.1403655,0.103027344,0.102294922,0.942138672,11:50.5,00:02.9
24,24,19.28673517,-99.1403655,0.081298828,0.105712891,0.950927734,11:50.6,00:03.0
25,25,19.28673517,-99.1403655,0.09765625,0.081542969,0.938476563,11:50.6,00:03.0
26,26,19.28673517,-99.1403655,0.092773438,0.095947266,0.938232422,11:51.9,00:04.3
27,27,19.28673517,-99.1403655,0.1171875,0.088134766,0.896240234,11:51.9,00:04.3
28,28,19.28673583,-99.14036817,0.102050781,0.095458984,0.947021484,11:52.0,00:04.3
29,29,19.28673583,-99.14036817,0.120361328,0.080322266,0.887939453,11:52.0,00:04.4
30,30,19.28673583,-99.14036817,0.116699219,0.080566406,0.884033203,11:52.0,00:04.4
31,31,19.28673583,-99.14036817,0.117919922,0.103515625,0.916503906,11:52.0,00:04.4
32,32,19.28673583,-99.14036817,0.106933594,0.080322266,0.922607422,11:52.0,00:04.4
33,33,19.28673583,-99.14036817,0.12109375,0.081542969,0.894775391,11:52.1,00:04.4
34,34,19.28673583,-99.14036817,0.09375,0.104492188,0.923828125,11:52.1,00:04.4
35,35,19.28673583,-99.14036817,0.097900391,0.085205078,0.936035156,11:52.1,00:04.4
36,36,19.28673583,-99.14036817,0.109619141,0.081542969,0.89453125,11:52.1,00:04.5
37,37,19.28673633,-99.14037017,0.082763672,0.106689453,0.925292969,11:52.2,00:04.6
38,38,19.28673633,-99.14037017,0.095458984,0.108886719,0.925537109,11:52.2,00:04.6
39,39,19.28673633,-99.14037017,0.109863281,0.081787109,0.958984375,11:52.3,00:04.7
40,40,19.28673633,-99.14037017,0.108886719,0.103759766,0.934326172,11:52.4,00:04.8
41,41,19.28673633,-99.14037017,0.111083984,0.092773438,0.924560547,11:52.5,00:04.8
42,42,19.28673633,-99.14037017,0.115722656,0.089111328,0.931396484,11:52.5,00:04.9
43,43,19.28673633,-99.14037017,0.12890625,0.075195313,0.875,11:52.6,00:05.0
44,44,19.28673633,-99.14037017,0.105712891,0.070800781,0.908691406,11:52.7,00:05.0
45,45,19.28673633,-99.14037017,0.115722656,0.080566406,0.875732422,11:52.7,00:05.1
46,46,19.28673717,-99.140373,0.116943359,0.056640625,0.920898438,11:53.2,00:05.6
47,47,19.28673717,-99.140373,0.110839844,0.114013672,0.87890625,11:53.3,00:05.6
48,48,19.28673717,-99.140373,0.114746094,0.082763672,0.864990234,11:53.3,00:05.7
49,49,19.28673717,-99.140373,0.116943359,0.087646484,0.906005859,11:53.4,00:05.8
50,50,19.28673717,-99.140373,0.103515625,0.037109375,0.912841797,11:53.5,00:05.8
51,51,19.28673717,-99.140373,0.133789063,-0.133544922,0.953369141,11:54.6,00:07.0
52,52,19.28673717,-99.140373,0.147949219,-0.150390625,0.968505859,11:54.7,00:07.0
53,53,19.28673717,-99.140373,0.138671875,-0.116455078,1.01171875,11:54.7,00:07.0
54,54,19.28673717,-99.140373,0.161621094,-0.173583984,0.882324219,11:54.7,00:07.0
55,55,19.2867355,-99.140377,0.119628906,-0.138916016,0.98046875,11:54.7,00:07.1
56,56,19.2867355,-99.140377,0.159423828,-0.169189453,0.895751953,11:54.7,00:07.1
57,57,19.2867355,-99.140377,0.139648438,-0.118164063,0.970214844,11:54.7,00:07.1
58,58,19.2867355,-99.140377,0.149658203,-0.144775391,0.925048828,11:54.7,00:07.1
59,59,19.2867355,-99.140377,0.122802734,-0.121582031,0.983642578,11:54.8,00:07.1
60,60,19.2867355,-99.140377,0.146484375,-0.153564453,0.9453125,11:54.8,00:07.2
61,61,19.2867355,-99.140377,0.156982422,-0.198242188,0.908447266,11:54.8,00:07.2
62,62,19.2867355,-99.140377,0.141601563,-0.138183594,0.927001953,11:54.8,00:07.2
63,63,19.2867355,-99.140377,0.153564453,-0.129638672,0.965087891,11:54.8,00:07.2
64,64,19.28671983,-99.1403795,0.141113281,-0.161865234,0.954345703,11:55.2,00:07.6
65,65,19.28671983,-99.1403795,0.181152344,-0.072753906,0.922607422,11:55.4,00:07.7
66,66,19.28671983,-99.1403795,0.172119141,-0.048095703,0.916748047,11:55.4,00:07.7
67,67,19.28671983,-99.1403795,0.149902344,-0.015869141,0.911621094,11:55.4,00:07.8
68,68,19.28671983,-99.1403795,0.195556641,-0.021972656,0.943847656,11:55.5,00:07.9
69,69,19.28671983,-99.1403795,0.1640625,-0.030517578,0.944335938,11:55.6,00:07.9
70,70,19.28671983,-99.1403795,0.090332031,-0.026611328,0.915527344,11:55.6,00:08.0
71,71,19.28671983,-99.1403795,0.092529297,-0.049316406,0.951904297,11:55.7,00:08.1
